adult,budget,genres,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,year,movieId,imdbId,tmdbId
FALSE,125000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",282035,tt2345759,en,The Mummy,"Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient queen whose destiny was unjustly taken from her is awakened in our current day, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",33.704935,/zxkY8byBnCsXodEYpK8tmwEGXBI.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Sean Daniel Company', 'id': 19857}, {'name': 'Secret Hideout', 'id': 90517}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/6/2017,407778013,110,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}]",Released,Welcome To A New World of Gods And Monsters,The Mummy,FALSE,5.4,2122,2017,170827,2345759,282035
FALSE,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",429698,tt4834220,en,Pork Pie,"This remake of 1981’s Goodbye Pork Pie tracks the escapades of a trio of accidental outlaws as they travel the length of New Zealand protesting conformity and chasing lost love, with a posse of cops and a media frenzy in pursuit.",1.023355,/eiKlqTjva0z6RpKmBuln2KmcOEC.jpg,"[{'name': 'Four Knights Film', 'id': 17761}, {'name': 'Southern Light Films', 'id': 55251}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}]",2/2/2017,0,105,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"The misfits, the mini, the mayhem.",Pork Pie,FALSE,6,9,2017,168626,4834220,429698
FALSE,0,"[{'id': 27, 'name': 'Horror'}]",420245,tt3622110,en,Don'T Knock Twice,A mother desperate to reconnect with her troubled daughter becomes embroiled in the urban legend of a demonic witch.,11.359142,/myaS2ytIh7zgjhOr4FY8d0lOjeK.jpg,"[{'name': 'Red & Black Films', 'id': 21621}, {'name': 'Seymour Films', 'id': 86623}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2/3/2017,0,93,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Pray she doesn't answer.,Don'T Knock Twice,FALSE,5.3,136,2017,168738,3622110,420245
FALSE,55000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",341174,tt4465564,en,Fifty Shades Darker,"When a wounded Christian Grey tries to entice a cautious Ana Steele back into his life, she demands a new arrangement before she will give him another chance. As the two begin to build trust and find stability, shadowy figures from Christian’s past start to circle the couple, determined to destroy their hopes for a future together.",29.130443,/wnVHDbGz7RvDAHFAsVVT88FxhrP.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Perfect World Pictures (Beijing)', 'id': 89473}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/8/2017,378827494,118,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Every fairy tale has a dark side.,Fifty Shades Darker,FALSE,6,2341,2017,168712,4465564,341174
FALSE,0,"[{'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",354859,tt4776998,en,The Promise,"Set during the last days of the Ottoman Empire, a love triangle develops between Mikael, a brilliant medical student, the beautiful and sophisticated artist Ana, and Chris, a renowned American journalist based in Paris.",9.555114,/iDWer2VFikupdqDc7d5sxCWZ3gW.jpg,"[{'name': 'Babieka', 'id': 20656}, {'name': 'Wonderful Films', 'id': 61018}, {'name': 'Survivor Pictures', 'id': 61019}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",4/21/2017,0,130,"[{'iso_639_1': 'hy', 'name': ''}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,Empires fall. Love survives.,The Promise,FALSE,7.3,69,2017,163955,4776998,354859
FALSE,0,"[{'id': 27, 'name': 'Horror'}]",401065,tt3320500,en,The Axe Murders Of Villisca,"Three ghost-hunting high-schoolers visit the Moore House in Villisca, Iowa—the site of one of America’s most grisly unsolved mass murders. After their private tour is interrupted, the group sneaks back in at night, unaware of the otherworldly terror that awaits them.",2.671452,/k3qMst5skBFa9Pjyao7Qdwjs9Y0.jpg,"[{'name': 'Ketchum Labs', 'id': 79924}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/20/2017,0,78,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"In 1912, eight people were brutally murdered in their house. This house.",The Axe Murders Of Villisca,FALSE,4.9,16,2017,172131,3320500,401065
FALSE,0,"[{'id': 27, 'name': 'Horror'}]",297160,tt3322892,en,Xx,This all-female horror anthology features four dark tales from four fiercely talented women.,8.106953,/b7GFrKemsW7L6SpuGQ91ozegbn9.jpg,"[{'name': 'Snowfort Pictures', 'id': 7787}, {'name': 'XYZ Films', 'id': 12142}, {'name': 'Scythia Films', 'id': 61011}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/17/2017,30911,80,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Four deadly tales by four killer women,Xx,FALSE,5,106,2017,168650,3322892,297160
FALSE,110000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",315837,tt1219827,en,Ghost In The Shell,"In the near future, Major is the first of her kind: a human saved from a terrible crash, then cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",68.726676,/myRzRzCxdfUWjkJWgpHHZ1oGkJd.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Shanghai Film Group', 'id': 3407}, {'name': 'Reliance Entertainment', 'id': 7294}, {'name': 'Arad Productions', 'id': 14439}, {'name': 'Grosvenor Park Productions', 'id': 17449}, {'name': 'Steven Paul Production', 'id': 44311}, {'name': 'Huahua Media', 'id': 83645}, {'name': 'Seaside Entertainment', 'id': 88981}, {'name': 'Amblin Partners', 'id': 92138}, {'name': 'Weying Galaxy Entertainment', 'id': 93466}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'IN', 'name': 'India'}, {'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",3/29/2017,169801921,107,"[{'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,There's nothing sadder than a puppet without a ghost.,Ghost In The Shell,FALSE,5.9,2547,2017,168612,1219827,315837
FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",340584,tt4680980,en,Lavender,A photographer struggling with memory loss discovers her pictures may indicate something sinister is hitting close to home.,3.528884,/ugTImNkM6MoHRCo2KkcGMw2m1as.jpg,"[{'name': 'South Creek Pictures', 'id': 12215}, {'name': '3 Legged Dog Films', 'id': 53568}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",3/3/2017,0,92,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The past won't forget,Lavender,FALSE,5.5,54,2017,168772,4680980,340584
FALSE,100000,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",428449,tt6265828,en,A Ghost Story,"Recently deceased, a white-sheeted ghost returns to his suburban home to console his bereft wife, only to find that in his spectral state he has become unstuck in time, forced to watch passively as the life he knew and the woman he loves slowly slip away.",24.339781,/ydENrBUenr4khaP6tj4JZn1CpMs.jpg,"[{'name': 'Sailor Bear', 'id': 14634}, {'name': 'A24', 'id': 41077}, {'name': 'Zero Trans Fat Productions', 'id': 49471}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/7/2017,15584255,92,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's all about time,A Ghost Story,FALSE,6.8,95,2017,168610,6265828,428449
